Step,TimeStamp,AvgEnergy,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
0,0.0020902,282.9992,25,0,0,0.4556009,1.133204
1,29.99991,282.976,25,0,0,0.4766189,1.11659
2,59.99985,282.9527,25,0,0,0.4861471,1.052136
3,89.99978,282.9294,25,0,0,0.4740673,1.053003
4,119.9984,282.9062,25,0,0,0.4765756,1.077438
5,149.9976,282.8829,25,0,0,0.4677915,1.160033
6,179.9996,282.8596,25,0,0,0.4870946,0.8715316
7,209.9995,282.8364,25,0,0,0.4740089,0.9470744
8,240,282.8131,25,0,0,0.4933348,0.9614926
9,269.998,282.7899,25,0,0,0.4628614,0.9725853
10,300.0001,282.7666,25,0,0,0.4515395,1.003439
11,330.0001,282.7433,25,0,0,0.4914935,1.116447
12,360.0003,282.7201,25,0,0,0.4613132,1.097476
13,389.9977,282.6968,25,0,0,0.47464,0.9713566
14,419.9998,282.6735,25,0,0,0.4637316,0.9871238
15,449.9984,282.6503,25,0,0,0.4845401,1.113111
16,479.9998,282.627,25,0,0,0.4967607,1.205993
17,509.9998,282.6037,25,0,0,0.4442537,0.8015217
18,539.9975,282.5805,25,0,0,0.4563414,0.9177047
19,569.9977,282.5572,25,0,0,0.4854164,0.8543949
20,599.9998,282.5339,25,0,0,0.4928643,1.307837
21,629.998,282.5107,25,0,0,0.4967013,0.8121886
22,660.0005,282.4874,25,0,0,0.4871535,1.176598
23,689.9995,282.4641,25,0,0,0.4936542,0.7901351
24,719.9985,282.4409,25,0,0,0.4903574,0.8622845
25,749.9983,282.4176,25,0,0,0.4902076,1.287913
26,779.9985,282.3944,25,0,0,0.4863763,0.7887593
27,809.9985,282.3711,25,0,0,0.4946624,0.8199456
28,839.9983,282.3478,25,0,0,0.4189363,1.052163
29,869.9984,282.3246,25,0,0,0.4903962,0.8130476
30,899.9981,282.3013,25,0,0,0.4701236,0.9500342
31,929.9977,282.278,25,0,0,0.4445617,0.821156
32,959.9977,282.2548,25,0,0,0.4605767,1.258964
33,989.9977,282.2315,25,0,0,0.4958962,0.9486358
34,1019.998,282.2083,25,0,0,0.4141598,1.192474
35,1049.998,282.185,25,0,0,0.4618007,1.040742
36,1079.998,282.1617,25,0,0,0.4498552,1.445003
37,1109.997,282.1385,25,0,0,0.4646244,1.072203
38,1139.998,282.1152,25,0,0,0.4915772,0.912069
39,1169.999,282.0919,25,0,0,0.4666594,0.8482497
40,1199.998,282.0687,25,0,0,0.492447,1.121174
41,1229.998,282.0454,25,0,0,0.4894607,0.8056532
42,1259.998,282.0222,25,0,0,0.4699554,1.04063
43,1289.998,281.9989,25,0,0,0.4968297,1.105932
44,1319.998,281.9756,25,0,0,0.4497739,0.8051772
45,1349.998,281.9524,25,0,0,0.4519213,1.069245
46,1379.998,281.9291,25,0,0,0.4678667,0.9201455
47,1409.998,281.9058,25,0,0,0.4283781,0.9428659
48,1439.998,281.8826,25,0,0,0.4215776,0.9532032
49,1469.998,281.8593,25,0,0,0.4551247,0.8794284
50,1499.998,281.836,25,0,0,0.4752703,1.031345
51,1529.998,281.8128,25,0,0,0.4731496,1.014255
52,1559.998,281.7895,25,0,0,0.4807639,0.9744549
53,1589.998,281.7663,25,0,0,0.492599,0.9947733
54,1619.998,281.743,25,0,0,0.4738475,0.8668856
55,1649.998,281.7197,25,0,0,0.4916927,1.093345
56,1679.998,281.6965,25,0,0,0.4065062,1.034441
57,1710.019,281.6732,25,0,0,0.4979232,1.0298
58,1740.02,281.6499,25,0,0,0.4796105,0.9818537
59,1770.019,281.6267,25,0,0,0.4939404,0.8213319
