Step,TimeStamp,AvgEnergy,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
0,0.0019996,0,0,1,0.09100791,NaN,NaN
1,30.00002,0,0,1,2.816702,NaN,NaN
2,60.00006,0,0,1,5.542397,NaN,NaN
3,90.00011,0,0,1,8.268091,NaN,NaN
4,119.9992,0,0,1,10.99227,NaN,NaN
5,150.0002,0,0,1,13.71948,NaN,NaN
6,180.0002,0,0,1,16.44518,NaN,NaN
7,210.0003,0,0,1,19.17087,NaN,NaN
8,239.9995,0,0,1,21.89505,NaN,NaN
9,269.9995,0,0,1,24.62074,NaN,NaN
10,299.9995,0,0,1,27.34795,NaN,NaN
11,329.9995,0,0,1,30.07365,NaN,NaN
12,359.9995,0,0,1,32.79934,NaN,NaN
13,389.9995,0,0,1,35.52504,NaN,NaN
14,419.9995,0,0,1,38.25073,NaN,NaN
15,449.9995,0,0,1,40.97643,NaN,NaN
16,479.9995,0,0,1,43.7006,NaN,NaN
17,509.9995,0,0,1,46.42781,NaN,NaN
18,539.9995,0,0,1,49.15351,NaN,NaN
19,569.9995,0,0,1,51.87769,NaN,NaN
20,599.9995,0,0,1,54.60338,NaN,NaN
21,629.9995,0,0,1,57.33059,NaN,NaN
22,659.9995,0,0,1,60.05477,NaN,NaN
23,689.9995,0,0,1,62.78198,NaN,NaN
24,719.9996,0,0,1,65.50616,NaN,NaN
25,749.9996,0,0,1,68.23337,NaN,NaN
26,779.9996,0,0,1,70.95755,NaN,NaN
27,809.9992,0,0,1,73.68324,NaN,NaN
28,840.0004,0,0,1,76.41045,NaN,NaN
29,869.9995,0,0,1,79.13615,NaN,NaN
30,899.9995,0,0,1,81.86033,NaN,NaN
31,929.9995,0,0,1,84.58602,NaN,NaN
32,959.9995,0,0,1,87.31323,NaN,NaN
33,989.9995,0,0,1,90.03893,NaN,NaN
34,1020,0,0,1,92.76462,NaN,NaN
35,1050,0,0,1,95.4888,NaN,NaN
36,1079.999,0,0,1,98.21449,NaN,NaN
37,1109.999,0,0,1,100.9402,NaN,NaN
38,1139.999,0,0,1,103.6659,NaN,NaN
39,1170,0,0,1,106.3931,NaN,NaN
40,1199.999,0,0,1,109.1173,NaN,NaN
41,1229.999,0,0,1,111.843,NaN,NaN
42,1260,0,0,1,114.5687,NaN,NaN
43,1290,0,0,1,117.2944,NaN,NaN
44,1320,0,0,1,120.0201,NaN,NaN
45,1350,0,0,1,122.7457,NaN,NaN
46,1380,0,0,1,125.4714,NaN,NaN
47,1410,0,0,1,128.1971,NaN,NaN
48,1440,0,0,1,130.9228,NaN,NaN
49,1470,0,0,1,133.6485,NaN,NaN
50,1500,0,0,1,136.3742,NaN,NaN
51,1530,0,0,1,139.1014,NaN,NaN
52,1560,0,0,1,141.8256,NaN,NaN
53,1590,0,0,1,144.5513,NaN,NaN
54,1620,0,0,1,147.277,NaN,NaN
55,1650,0,0,1,150.0027,NaN,NaN
56,1679.999,0,0,1,152.7284,NaN,NaN
57,1710,0,0,1,155.4541,NaN,NaN
