Step,TimeStamp,AvgEnergy,AverageEnergy_5th,AverageEnergy_95th,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
0,0.0010004,384,384,384,25,1,450,0.4927354,4.853849
1,59.87059,384.0692,384.0679,384.0706,25,1,450.4144,0.4944682,0.5467633
2,119.8707,384.138,384.1364,384.1403,25,1,450.8371,0.4219712,0.8527615
3,179.8707,384.2071,384.2043,384.2099,25,1,451.2543,0.4804779,0.3664469
4,239.8702,384.2755,384.2717,384.2798,25,1,451.688,0.4472351,0.5965882
5,299.8702,384.3449,384.3408,384.3489,25,1,452.0979,0.4921347,0.9621637
6,359.8702,384.4142,384.41,384.4186,25,1,452.5107,0.4656129,0.8371555
7,419.8702,384.4833,384.4794,384.4876,25,1,452.9265,0.4996223,0.7507076
8,479.8702,384.5524,384.548,384.5579,25,1,453.343,0.4408673,0.8563231
9,539.8702,384.6208,384.6173,384.6263,25,1,453.7765,0.4881418,0.8411332
10,599.8702,384.6893,384.6849,384.6939,25,1,454.208,0.3693736,1.001167
11,659.8702,384.7589,384.756,384.7631,25,1,454.6112,0.4922172,0.8681955
12,719.8702,384.8279,384.8243,384.8327,25,1,455.0315,0.486554,0.6964384
13,779.8702,384.8967,384.8922,384.9019,25,1,455.4558,0.4653779,1.112581
14,839.8707,384.9661,384.9619,384.9717,25,1,455.8645,0.3988616,0.8406172
15,899.8707,385.0356,385.0323,385.0406,25,1,456.2725,0.4727248,0.5595298
16,959.8707,385.1044,385.101,385.1099,25,1,456.6956,0.480351,1.054716
17,1019.87,385.1729,385.1685,385.1794,25,1,457.1273,0.4801001,0.8342147
18,1079.87,385.2423,385.2384,385.2482,25,1,457.5351,0.4834321,0.9007686
19,1139.87,385.3116,385.3065,385.3179,25,1,457.9478,0.4819634,0.698409
20,1199.871,385.3802,385.3755,385.3872,25,1,458.3759,0.481409,0.6089499
21,1259.871,385.4492,385.4438,385.4568,25,1,458.7967,0.4691778,0.7961627
22,1319.871,385.5179,385.5127,385.5261,25,1,459.2224,0.4683911,0.7867764
23,1379.87,385.5867,385.5814,385.5953,25,1,459.6459,0.4565066,0.6405921
24,1439.87,385.656,385.6492,385.6645,25,1,460.0575,0.4695984,1.018368
25,1499.87,385.7253,385.719,385.7329,25,1,460.47,0.4615883,0.5439785
26,1559.871,385.7946,385.7868,385.8028,25,1,460.8816,0.4942094,0.6021907
27,1619.871,385.8637,385.8564,385.872,25,1,461.2979,0.459861,1.184597
28,1679.871,385.9325,385.9251,385.9413,25,1,461.7227,0.4607275,0.7799374
29,1739.87,386.0023,385.9952,386.0111,25,1,462.1203,0.4813282,0.8124849
30,1799.87,386.0717,386.0638,386.0812,25,1,462.5309,0.4698433,0.67952
31,1859.87,386.1404,386.1315,386.1497,25,1,462.9561,0.4729348,0.8418938
32,1919.87,386.2099,386.2005,386.2197,25,1,463.3633,0.4838468,0.7600552
33,1979.871,386.2797,386.27,386.2903,25,1,463.763,0.4842801,0.7671836
34,2039.871,386.3487,386.34,386.3596,25,1,464.1809,0.4716167,0.8170999
