Step,TimeStamp,AvgEnergy,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
0,0.0009985,384,25,1,450,0.4927354,4.853849
1,59.87106,384.0856,25,1,450.0047,0.4692303,0.7091505
2,119.8711,384.1713,25,1,450.0047,0.4541034,0.5909441
3,179.8711,384.2571,25,1,450.0047,0.4469266,0.7859445
4,239.8711,384.3429,25,1,450.0047,0.445897,0.8943
5,299.8711,384.4286,25,1,450.0047,0.4888473,0.7132426
6,359.8711,384.5144,25,1,450.0047,0.4553691,0.9051055
7,419.8711,384.6002,25,1,450.0047,0.4782242,0.7115836
8,479.8711,384.6859,25,1,450.0047,0.4804848,0.7688888
9,539.8711,384.7717,25,1,450.0047,0.4603319,0.6990267
10,599.8711,384.8575,25,1,450.0047,0.4514582,0.8202579
11,659.8716,384.9432,25,1,450.0047,0.4797179,0.8257744
12,719.8716,385.029,25,1,450.0047,0.4856266,0.3846604
13,779.8716,385.1147,25,1,450.0047,0.4698677,0.654435
14,839.8711,385.2005,25,1,450.0047,0.4616302,0.9391535
15,899.8711,385.2863,25,1,450.0047,0.4304563,0.9047165
16,959.8711,385.372,25,1,450.0047,0.4007399,0.7150635
17,1019.872,385.4578,25,1,450.0047,0.4934926,0.4947577
18,1079.872,385.5435,25,1,450.0047,0.3881491,0.5631498
19,1139.872,385.6293,25,1,450.0047,0.4714941,0.6581386
20,1199.871,385.7151,25,1,450.0047,0.4253806,0.7405219
21,1259.871,385.8008,25,1,450.0047,0.4710327,0.8210567
22,1319.871,385.8866,25,1,450.0047,0.4871646,0.6690727
23,1379.872,385.9724,25,1,450.0047,0.446993,0.7736124
24,1439.872,386.0581,25,1,450.0047,0.4806186,0.7722174
25,1499.872,386.1439,25,1,450.0047,0.445377,0.9312979
26,1559.871,386.2297,25,1,450.0047,0.4935598,0.645612
27,1619.871,386.3154,25,1,450.0047,0.4731039,0.8020706
28,1679.871,386.4012,25,1,450.0047,0.468294,1.060916
29,1739.872,386.487,25,1,450.0047,0.4820581,0.8172485
30,1799.872,386.5727,25,1,450.0047,0.4722651,0.7306593
31,1859.872,386.6585,25,1,450.0047,0.4652794,0.9801894
32,1919.871,386.7443,25,1,450.0047,0.4956184,0.4565771
33,1979.871,386.83,25,1,450.0047,0.4812049,0.9719012
34,2039.871,386.9158,25,1,450.0047,0.4791897,0.621735
35,2099.872,387.0016,25,1,450.0047,0.3818302,0.8821949
36,2159.872,387.0873,25,1,450.0047,0.4627311,0.9291751
37,2219.872,387.1731,25,1,450.0047,0.4915189,0.8752129
38,2279.871,387.2589,25,1,450.0047,0.4463872,0.7886524
39,2339.871,387.3446,25,1,450.0047,0.4184067,0.6889986
40,2399.871,387.4304,25,1,450.0047,0.4322728,0.5813366
41,2459.872,387.5161,25,1,450.0047,0.4638321,0.6331348
42,2519.872,387.6019,25,1,450.0047,0.4846652,0.4409136
43,2579.872,387.6877,25,1,450.0047,0.4939863,0.7471141
44,2639.871,387.7734,25,1,450.0047,0.4911369,0.7229218
45,2699.871,387.8592,25,1,450.0047,0.497379,0.613346
46,2759.871,387.9449,25,1,450.0047,0.444916,0.7925643
47,2819.872,388.0307,25,1,450.0047,0.4556845,0.9117844
48,2879.872,388.1165,25,1,450.0047,0.4703271,0.4902163
49,2939.872,388.2022,25,1,450.0047,0.4710082,0.8493952
50,2999.872,388.288,25,1,450.0047,0.4774114,0.6686601
51,3059.872,388.3738,25,1,450.0047,0.4280199,0.8592975
52,3119.872,388.4595,25,1,450.0047,0.4365987,0.8667818
53,3179.872,388.5453,25,1,450.0047,0.4830263,0.8899154
54,3239.872,388.6311,25,1,450.0047,0.4731139,0.6811363
55,3299.872,388.7168,25,1,450.0047,0.4807778,0.8142777
56,3359.871,388.8026,25,1,450.0047,0.4483122,0.8155258
57,3419.871,388.8884,25,1,450.0047,0.4760373,0.6499628
58,3479.871,388.9741,25,1,450.0047,0.426496,0.8970072
59,3539.872,389.0599,25,1,450.0047,0.4557601,0.6870978
60,3599.872,389.1457,25,1,450.0047,0.4639837,1.070269
61,3659.872,389.2314,25,1,450.0047,0.4625594,0.7393068
62,3719.871,389.3172,25,1,450.0047,0.4611717,1.023935
63,3779.871,389.4029,25,1,450.0047,0.4868787,0.4710177
64,3839.871,389.4887,25,1,450.0047,0.4718213,0.6633729
65,3899.872,389.5745,25,1,450.0047,0.4810466,0.8376059
66,3959.872,389.6602,25,1,450.0047,0.4808226,0.8337948
67,4019.872,389.746,25,1,450.0047,0.4830156,0.8395898
68,4079.871,389.8318,25,1,450.0047,0.4720499,0.8263572
69,4139.871,389.9175,25,1,450.0047,0.4982085,0.6588089
70,4199.871,390.0033,25,1,450.0047,0.4666246,1.031564
71,4259.872,390.0891,25,1,450.0047,0.4515331,0.5466011
72,4319.872,390.1748,25,1,450.0047,0.4728628,0.749115
73,4379.872,390.2606,25,1,450.0047,0.48609,0.7869982
74,4439.871,390.3463,25,1,450.0047,0.478713,1.009355
75,4499.871,390.4321,25,1,450.0047,0.480905,0.4500276
76,4559.871,390.5179,25,1,450.0047,0.479574,0.9693503
77,4619.872,390.6036,25,1,450.0047,0.3870676,0.6147041
78,4679.872,390.6894,25,1,450.0047,0.4957196,0.7818441
79,4739.872,390.7751,25,1,450.0047,0.4737857,0.5537201
80,4799.871,390.8609,25,1,450.0047,0.4523843,0.6693915
81,4859.871,390.9467,25,1,450.0047,0.4719554,0.7122241
82,4919.871,391.0324,25,1,450.0047,0.4650206,0.9630335
83,4979.872,391.1182,25,1,450.0047,0.4799438,0.8626579
84,5039.872,391.204,25,1,450.0047,0.4492362,0.8020878
85,5099.872,391.2897,25,1,450.0047,0.3609592,0.7629712
86,5159.871,391.3755,25,1,450.0047,0.4856803,0.9755403
87,5219.871,391.4613,25,1,450.0047,0.4635438,1.114125
88,5279.871,391.547,25,1,450.0047,0.4789555,0.6640452
89,5339.872,391.6328,25,1,450.0047,0.4690793,0.5398301
90,5399.872,391.7186,25,1,450.0047,0.4848683,0.9665508
91,5459.872,391.8043,25,1,450.0047,0.4930338,0.9732848
92,5519.871,391.8901,25,1,450.0047,0.4189399,0.7810505
93,5579.871,391.9759,25,1,450.0047,0.4624416,0.8436112
94,5639.871,392.0616,25,1,450.0047,0.420641,0.4541215
95,5699.872,392.1474,25,1,450.0047,0.4850003,0.965892
96,5759.872,392.2332,25,1,450.0047,0.4837729,0.4194378
97,5819.872,392.3189,25,1,450.0047,0.475613,1.052492
98,5879.872,392.4047,25,1,450.0047,0.4820768,0.6144481
99,5939.872,392.4904,25,1,450.0047,0.4896414,1.032429
100,5999.872,392.5762,25,1,450.0047,0.4543943,0.5215851
101,6059.872,392.662,25,1,450.0047,0.4718677,0.9395918
102,6119.872,392.7477,25,1,450.0047,0.4930299,0.8233291
103,6179.872,392.8335,25,1,450.0047,0.4734724,0.7566059
104,6239.872,392.9193,25,1,450.0047,0.4608794,0.5966511
105,6299.872,393.005,25,1,450.0047,0.4444854,0.9356823
106,6359.872,393.0908,25,1,450.0047,0.4786676,0.4998188
107,6419.872,393.1765,25,1,450.0047,0.4551324,1.086557
108,6479.872,393.2623,25,1,450.0047,0.4782536,0.629624
109,6539.872,393.3481,25,1,450.0047,0.4976865,0.574117
110,6599.872,393.4338,25,1,450.0047,0.4498233,0.9480841
111,6659.872,393.5196,25,1,450.0047,0.4402492,0.935375
112,6719.872,393.6054,25,1,450.0047,0.4925664,0.7936459
113,6779.872,393.6911,25,1,450.0047,0.4843312,0.7997821
114,6840.011,393.7769,25,1,450.0047,0.4785682,0.8291473
115,6900.011,393.8627,25,1,450.0047,0.497987,0.6217437
116,6960.011,393.9484,25,1,450.0047,0.4892217,0.5398867
117,7020.011,394.0342,25,1,450.0047,0.4984482,0.862287
118,7080.011,394.12,25,1,450.0047,0.4765814,0.7914246
119,7140.011,394.2057,25,1,450.0047,0.4845896,0.5759656
120,7200.011,394.2915,25,1,450.0047,0.4793667,0.4812558
121,7260.011,394.3772,25,1,450.0047,0.4995626,0.7321761
122,7320.011,394.463,25,1,450.0047,0.4841405,0.730556
123,7380.011,394.5488,25,1,450.0047,0.4867032,0.6702775
124,7440.011,394.6345,25,1,450.0047,0.4792223,0.6357014
125,7500.011,394.7203,25,1,450.0047,0.4787712,0.8605415
126,7560.011,394.8061,25,1,450.0047,0.4798295,0.8681023
127,7620.011,394.8918,25,1,450.0047,0.4569813,0.9723793
128,7680.011,394.9776,25,1,450.0047,0.4775098,0.5373698
129,7740.011,395.0634,25,1,450.0047,0.4795057,0.6619037
130,7800.011,395.1491,25,1,450.0047,0.4831971,0.7158623
131,7860.011,395.2349,25,1,450.0047,0.4564992,0.8644979
132,7920.011,395.3206,25,1,450.0047,0.459869,0.6748375
133,7980.011,395.4064,25,1,450.0047,0.4578485,0.9726477
134,8040.011,395.4922,25,1,450.0047,0.4785911,0.9738832
135,8100.011,395.5779,25,1,450.0047,0.432604,0.7402461
136,8160.011,395.6637,25,1,450.0047,0.4717063,0.6777948
137,8220.012,395.7495,25,1,450.0047,0.478811,1.004026
138,8280.011,395.8352,25,1,450.0047,0.4728723,0.8135213
139,8340.011,395.921,25,1,450.0047,0.4617091,0.9772133
140,8400.011,396.0067,25,1,450.0047,0.476822,0.693908
