Step,TimeStamp,AvgEnergy,AverageEnergy_5th,AverageEnergy_95th,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
0,0.0020004,384,384,384,25,1,450,0.4927354,4.853849
1,59.85405,384.0858,384.0837,384.0884,25,1,449.9996,0.4587808,0.8096457
2,119.854,384.1713,384.1692,384.1743,25,1,450.0059,0.4402158,0.9193944
3,179.854,384.2573,384.2543,384.2602,25,1,450.0004,0.4801683,0.5386482
4,239.854,384.3427,384.3396,384.3471,25,1,450.0076,0.4767059,0.7717892
5,299.854,384.4287,384.4253,384.4345,25,1,450.0029,0.4907629,0.7291628
6,359.854,384.5152,384.5119,384.52,25,1,449.9851,0.412139,0.9530125
7,419.854,384.6006,384.5976,384.6057,25,1,449.9945,0.4954253,1.013943
8,479.8535,384.686,384.6828,384.6916,25,1,450.0018,0.4894094,0.668257
9,539.8536,384.7711,384.7671,384.777,25,1,450.0189,0.4738482,0.4358135
10,599.8536,384.8571,384.852,384.8651,25,1,450.0138,0.4949646,0.6708695
11,659.8541,384.9434,384.9376,384.9512,25,1,450.0011,0.4763906,0.8759665
12,719.8541,385.0288,385.0243,385.0365,25,1,450.0079,0.4799185,0.9552897
13,779.8541,385.1146,385.1095,385.1229,25,1,450.0086,0.4970028,0.5768393
14,839.8535,385.2002,385.1947,385.2097,25,1,450.0114,0.4903023,0.6820195
15,899.8535,385.2852,385.2792,385.295,25,1,450.032,0.4753765,0.9533577
16,959.8535,385.3713,385.3653,385.3823,25,1,450.0237,0.4627465,0.7271052
17,1019.854,385.4578,385.4518,385.469,25,1,450.0049,0.4828754,0.6372501
18,1079.854,385.5436,385.5375,385.5537,25,1,450.0029,0.4475964,0.6313374
19,1139.854,385.6292,385.6234,385.6384,25,1,450.0066,0.4362767,0.6636407
20,1199.854,385.7155,385.71,385.7227,25,1,449.9959,0.4636441,0.8089861
21,1259.854,385.8014,385.7948,385.8099,25,1,449.9922,0.4924561,0.8432792
22,1319.854,385.8866,385.8803,385.8958,25,1,450.0056,0.4283324,1.04033
23,1379.854,385.9723,385.9655,385.9824,25,1,450.0077,0.4812851,0.6840397
24,1439.854,386.0575,386.0495,386.0677,25,1,450.0201,0.4537491,0.5262111
25,1499.854,386.1432,386.134,386.1516,25,1,450.0226,0.4934544,0.6330358
26,1559.854,386.2295,386.2201,386.2383,25,1,450.0087,0.4912225,1.026359
27,1619.854,386.3154,386.3047,386.3244,25,1,450.0064,0.4862236,0.6659157
28,1679.854,386.4006,386.3898,386.41,25,1,450.0199,0.4104951,0.7274983
29,1739.854,386.4862,386.4771,386.4964,25,1,450.0235,0.4744031,1.076908
30,1799.854,386.5721,386.5648,386.583,25,1,450.0214,0.470742,0.5754979
31,1859.854,386.6582,386.6497,386.6707,25,1,450.011,0.4956818,0.6168117
32,1919.854,386.7436,386.7357,386.7557,25,1,450.0213,0.4909371,0.5583403
33,1979.854,386.8287,386.8193,386.8419,25,1,450.0378,0.4791355,0.9107193
34,2039.854,386.9147,386.9055,386.9287,25,1,450.0325,0.4522737,0.928999
35,2099.854,387.0002,386.9908,387.0142,25,1,450.0373,0.4093044,0.8064003
36,2159.854,387.0861,387.0764,387.1022,25,1,450.0359,0.4584005,0.9677263
37,2219.854,387.1719,387.1611,387.1884,25,1,450.0336,0.4747658,0.5657606
38,2279.854,387.2578,387.2473,387.2751,25,1,450.0314,0.4795603,0.6922631
39,2339.854,387.3439,387.333,387.3622,25,1,450.0216,0.4883277,0.8145995
40,2399.854,387.4297,387.4191,387.4483,25,1,450.0214,0.473951,1.073184
41,2459.854,387.5153,387.5042,387.5346,25,1,450.0251,0.4746072,0.8887694
42,2519.854,387.601,387.5907,387.6222,25,1,450.0273,0.4438592,0.7999288
43,2579.854,387.6872,387.6762,387.7076,25,1,450.0166,0.4758809,0.7696402
44,2639.854,387.7732,387.7621,387.7916,25,1,450.0093,0.4735373,0.7063699
45,2699.854,387.8595,387.8484,387.8777,25,1,449.9969,0.4883142,0.7713656
46,2759.854,387.9459,387.9334,387.9649,25,1,449.9808,0.4544466,0.838408
47,2819.854,388.0312,388.0183,388.0503,25,1,449.994,0.4826353,0.8372052
48,2879.854,388.1171,388.1042,388.1363,25,1,449.99,0.4614554,0.705386
49,2939.854,388.2035,388.1894,388.2229,25,1,449.9733,0.4815148,0.9509349
50,2999.854,388.2896,388.2743,388.3094,25,1,449.966,0.4778117,0.566949
51,3059.854,388.3758,388.3614,388.3958,25,1,449.9547,0.4725327,0.6025705
52,3119.854,388.461,388.4473,388.4816,25,1,449.9678,0.4267521,1.1041
53,3179.854,388.5467,388.5318,388.568,25,1,449.9708,0.43233,0.8726477
54,3239.854,388.6324,388.6186,388.6522,25,1,449.972,0.4236089,0.8744461
55,3299.854,388.7184,388.7054,388.7383,25,1,449.966,0.4586066,1.151099
56,3359.855,388.804,388.7914,388.8237,25,1,449.9702,0.4865338,0.7332444
57,3419.855,388.8897,388.8769,388.9106,25,1,449.9715,0.4575145,0.7627299
58,3479.855,388.9755,388.9639,388.9979,25,1,449.9705,0.4773284,0.7256355
59,3539.855,389.0612,389.0504,389.0824,25,1,449.9723,0.4645903,1.017519
60,3599.855,389.1469,389.136,389.1683,25,1,449.9749,0.41202,0.8784577
61,3659.855,389.2329,389.2227,389.2555,25,1,449.9675,0.408445,0.9289725
62,3719.855,389.3184,389.3091,389.3422,25,1,449.9735,0.3988129,1.235146
63,3779.855,389.4045,389.395,389.4283,25,1,449.9661,0.4667997,0.6825904
64,3839.855,389.4908,389.4819,389.5147,25,1,449.9527,0.4774749,0.4204349
65,3899.855,389.5761,389.5647,389.6001,25,1,449.9639,0.4248744,0.7466044
66,3959.855,389.6616,389.6516,389.6854,25,1,449.9711,0.4389756,0.9428153
67,4019.855,389.7477,389.7378,389.7708,25,1,449.9625,0.4850643,0.5031779
68,4079.855,389.8333,389.8218,389.858,25,1,449.9659,0.451045,1.050377
69,4139.855,389.9189,389.9092,389.9444,25,1,449.9717,0.4749033,0.7785642
70,4199.855,390.0042,389.9957,390.0316,25,1,449.9827,0.4736294,0.9229973
71,4259.855,390.0898,390.0812,390.117,25,1,449.9849,0.4355868,0.7599018
72,4319.855,390.1759,390.1673,390.2034,25,1,449.9778,0.4916224,0.7429335
73,4379.855,390.2616,390.2536,390.2896,25,1,449.9788,0.4468961,0.9500307
74,4439.855,390.3476,390.3388,390.3773,25,1,449.9738,0.4564421,0.8346128
75,4499.855,390.4329,390.4238,390.4632,25,1,449.985,0.4659212,0.8958997
76,4559.855,390.5191,390.5096,390.548,25,1,449.9749,0.478068,1.138031
