Step,TimeStamp,AvgEnergy,AverageEnergy_5th,AverageEnergy_95th,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
0,0.0010005,384,384,384,1,1,450,-5.960464E-08,0
1,3.480029,384.0099,384.0099,384.0099,1,1,450.0035,0,0
2,6.943575,384.019,384.019,384.019,1,1,450.0095,2.980232E-08,0
3,10.47558,384.0274,384.0274,384.0274,1,1,450.0179,-1.788139E-07,0
4,14.0036,384.0352,384.0352,384.0352,1,1,450.0281,2.980232E-08,0
5,17.4146,384.0454,384.0454,384.0454,1,1,450.0307,2.980232E-08,0
6,20.8596,384.0562,384.0562,384.0562,1,1,450.0312,2.980232E-08,0
7,24.33614,384.0667,384.0667,384.0667,1,1,450.0325,0,0
8,27.89714,384.0742,384.0742,384.0742,1,1,450.0437,2.980232E-08,0
9,31.43414,384.0829,384.0829,384.0829,1,1,450.0513,-1.788139E-07,0
10,35.01814,384.0923,384.0923,384.0923,1,1,450.0562,-5.960464E-08,0
11,38.60814,384.1021,384.1021,384.1021,1,1,450.0601,2.980232E-08,0
12,42.17914,384.1106,384.1106,384.1106,1,1,450.0681,-5.960464E-08,0
13,45.75214,384.1191,384.1191,384.1191,1,1,450.076,2.980232E-08,0
14,49.24314,384.1278,384.1278,384.1278,1,1,450.0834,-1.192093E-07,0
15,52.76216,384.1379,384.1379,384.1379,1,1,450.086,-1.192093E-07,0
16,56.32516,384.1492,384.1492,384.1492,1,1,450.085,-5.960464E-08,0
17,59.86819,384.1594,384.1594,384.1594,1,1,450.0875,0,0
18,63.47021,384.1685,384.1685,384.1685,1,1,450.0934,0,0
19,66.97221,384.1779,384.1779,384.1779,1,1,450.0984,2.980232E-08,0
20,70.46621,384.1874,384.1874,384.1874,1,1,450.1031,0,0
21,73.90121,384.1973,384.1973,384.1973,1,1,450.1068,0,0
22,77.53123,384.2059,384.2059,384.2059,1,1,450.1141,2.980232E-08,0
23,81.35424,384.2131,384.2131,384.2131,1,1,450.1265,1.192093E-07,0
24,84.87823,384.2221,384.2221,384.2221,1,1,450.1326,1.490116E-07,0
25,88.40726,384.231,384.231,384.231,1,1,450.1393,-5.960464E-08,0
26,91.92226,384.2387,384.2387,384.2387,1,1,450.1498,0,0
27,95.49026,384.246,384.246,384.246,1,1,450.162,5.960464E-08,0
28,98.89126,384.2539,384.2539,384.2539,1,1,450.1717,0,0
29,102.3433,384.2632,384.2632,384.2632,1,1,450.1771,0,0
30,105.9363,384.2732,384.2732,384.2732,1,1,450.1801,5.960464E-08,0
31,109.4653,384.282,384.282,384.282,1,1,450.1871,0,0
32,112.9853,384.291,384.291,384.291,1,1,450.1935,2.980232E-08,0
33,116.5013,384.3,384.3,384.3,1,1,450.1998,8.940697E-08,0
34,120.0533,384.3076,384.3076,384.3076,1,1,450.2106,2.980232E-08,0
35,123.6273,384.3167,384.3167,384.3167,1,1,450.2164,-1.192093E-07,0
36,127.1248,384.3243,384.3243,384.3243,1,1,450.2272,-1.788139E-07,0
37,130.6278,384.3325,384.3325,384.3325,1,1,450.2361,5.960464E-08,0
38,134.3558,384.3414,384.3414,384.3414,1,1,450.243,-5.960464E-08,0
39,138.0628,384.3512,384.3512,384.3512,1,1,450.2466,-5.960464E-08,0
40,141.8528,384.3607,384.3607,384.3607,1,1,450.251,2.980232E-08,0
41,145.3958,384.3695,384.3695,384.3695,1,1,450.2579,8.940697E-08,0
42,148.8848,384.3789,384.3789,384.3789,1,1,450.2631,0,0
43,152.5036,384.3879,384.3879,384.3879,1,1,450.2693,-5.960464E-08,0
44,156.1826,384.3962,384.3962,384.3962,1,1,450.278,0,0
45,159.7501,384.4057,384.4057,384.4057,1,1,450.2826,-5.960464E-08,0
46,163.1656,384.4149,384.4149,384.4149,1,1,450.2883,-1.788139E-07,0
47,166.7146,384.4248,384.4248,384.4248,1,1,450.2916,0,0
48,170.2756,384.4319,384.4319,384.4319,1,1,450.3039,0,0
49,174.3237,384.4406,384.4406,384.4406,1,1,450.3112,1.788139E-07,0
50,179.7077,384.4507,384.4507,384.4507,1,1,450.314,5.960464E-08,0
51,190.318,384.4596,384.4596,384.4596,1,1,450.3203,0,0
52,196.0546,384.4677,384.4677,384.4677,1,1,450.3295,-5.960464E-08,0
53,200.0322,384.476,384.476,384.476,1,1,450.3383,0,0
54,204.5022,384.4859,384.4859,384.4859,1,1,450.3414,0,0
55,208.3722,384.4954,384.4954,384.4954,1,1,450.3459,0,0
56,211.9145,384.506,384.506,384.506,1,1,450.347,-1.192093E-07,0
57,215.3936,384.5134,384.5134,384.5134,1,1,450.3584,0,0
58,218.8799,384.5229,384.5229,384.5229,1,1,450.3628,2.980232E-08,0
59,222.4059,384.532,384.532,384.532,1,1,450.3688,-1.192093E-07,0
60,225.845,384.5391,384.5391,384.5391,1,1,450.3813,8.940697E-08,0
61,229.433,384.5492,384.5492,384.5492,1,1,450.384,-1.192093E-07,0
62,233.0161,384.5583,384.5583,384.5583,1,1,450.39,2.980232E-08,0
63,236.5341,384.5667,384.5667,384.5667,1,1,450.3982,2.980232E-08,0
64,240.0271,384.5757,384.5757,384.5757,1,1,450.4041,2.980232E-08,0
65,243.4199,384.5848,384.5848,384.5848,1,1,450.4101,0,0
66,246.814,384.5943,384.5943,384.5943,1,1,450.4146,-5.960464E-08,0
67,250.3197,384.6027,384.6027,384.6027,1,1,450.4228,2.384186E-07,0
68,253.7579,384.6126,384.6126,384.6126,1,1,450.4261,5.960464E-08,0
69,257.153,384.6232,384.6232,384.6232,1,1,450.4272,-5.960464E-08,0
70,260.5939,384.6318,384.6318,384.6318,1,1,450.4345,0,0
71,263.9817,384.6407,384.6407,384.6407,1,1,450.441,0,0
72,267.3928,384.6497,384.6497,384.6497,1,1,450.4471,1.192093E-07,0
73,270.8889,384.6589,384.6589,384.6589,1,1,450.4527,-5.960464E-08,0
74,274.3558,384.6685,384.6685,384.6685,1,1,450.4571,2.980232E-08,0
75,278.129,384.678,384.678,384.678,1,1,450.4615,0,0
76,281.6731,384.6879,384.6879,384.6879,1,1,450.4649,5.960464E-08,0
77,285.8148,384.6961,384.6961,384.6961,1,1,450.4735,-5.960464E-08,0
78,289.6549,384.7047,384.7047,384.7047,1,1,450.4811,-5.960464E-08,0
79,293.2107,384.7128,384.7128,384.7128,1,1,450.4902,0,0
80,296.7166,384.7203,384.7203,384.7203,1,1,450.5011,0,0
81,300.1423,384.7296,384.7296,384.7296,1,1,450.5064,0,0
82,303.6614,384.7376,384.7376,384.7376,1,1,450.5156,-1.788139E-07,0
83,307.2935,384.7481,384.7481,384.7481,1,1,450.5169,2.980232E-08,0
84,310.9849,384.7594,384.7594,384.7594,1,1,450.5158,5.960464E-08,0
85,314.748,384.7685,384.7685,384.7685,1,1,450.5214,0,0
86,319.0755,384.7775,384.7775,384.7775,1,1,450.5277,2.384186E-07,0
87,322.9421,384.7864,384.7864,384.7864,1,1,450.5341,2.980232E-08,0
88,328.0785,384.7941,384.7941,384.7941,1,1,450.5445,-1.192093E-07,0
89,335.871,384.8028,384.8028,384.8028,1,1,450.5516,-1.192093E-07,0
90,340.8068,384.8117,384.8117,384.8117,1,1,450.5581,-5.960464E-08,0
91,345.1382,384.8202,384.8202,384.8202,1,1,450.5659,0,0
92,349.6593,384.8305,384.8305,384.8305,1,1,450.5677,-1.192093E-07,0
93,353.6717,384.8378,384.8378,384.8378,1,1,450.5792,0,0
94,358.0963,384.8476,384.8476,384.8476,1,1,450.5828,-5.960464E-08,0
95,362.0734,384.8586,384.8586,384.8586,1,1,450.5826,-5.960464E-08,0
96,366.1699,384.8668,384.8668,384.8668,1,1,450.5912,5.960464E-08,0
97,370.4893,384.8774,384.8774,384.8774,1,1,450.5921,2.980232E-07,0
98,374.6332,384.8862,384.8862,384.8862,1,1,450.5988,-5.960464E-08,0
99,378.215,384.8945,384.8945,384.8945,1,1,450.6071,0,0
100,381.6554,384.9042,384.9042,384.9042,1,1,450.6109,0,0
101,385.0349,384.913,384.913,384.913,1,1,450.6177,2.980232E-08,0
102,388.536,384.9226,384.9226,384.9226,1,1,450.6218,0,0
103,392.1376,384.9313,384.9313,384.9313,1,1,450.6289,2.980232E-08,0
104,395.958,384.9407,384.9407,384.9407,1,1,450.6337,2.980232E-08,0
105,400.0095,384.949,384.949,384.949,1,1,450.642,0,0
106,403.639,384.9591,384.9591,384.9591,1,1,450.6446,0,0
107,407.2774,384.9678,384.9678,384.9678,1,1,450.6516,2.980232E-07,0
108,410.9436,384.9759,384.9759,384.9759,1,1,450.6606,0,0
109,414.4674,384.9847,384.9847,384.9847,1,1,450.6675,0,0
110,418.0251,384.9928,384.9928,384.9928,1,1,450.6765,0,0
111,421.7087,385.0018,385.0018,385.0018,1,1,450.6825,2.980232E-08,0
112,425.2952,385.0113,385.0113,385.0113,1,1,450.687,2.980232E-08,0
113,429.0164,385.0203,385.0203,385.0203,1,1,450.6929,0,0
114,432.709,385.0291,385.0291,385.0291,1,1,450.6996,0,0
115,436.2332,385.0389,385.0389,385.0389,1,1,450.703,0,0
116,439.8311,385.0477,385.0477,385.0477,1,1,450.7099,-5.960464E-08,0
117,443.4786,385.0549,385.0549,385.0549,1,1,450.7216,0,0
118,447.1162,385.0632,385.0632,385.0632,1,1,450.7299,2.980232E-08,0
119,450.782,385.0739,385.0739,385.0739,1,1,450.7307,8.940697E-08,0
120,454.4696,385.0825,385.0825,385.0825,1,1,450.7378,1.192093E-07,0
121,458.0296,385.092,385.092,385.092,1,1,450.7423,0,0
122,461.7184,385.1004,385.1004,385.1004,1,1,450.7503,-1.192093E-07,0
123,465.3242,385.1098,385.1098,385.1098,1,1,450.7551,2.980232E-08,0
124,469.0635,385.1186,385.1186,385.1186,1,1,450.7616,-5.960464E-08,0
125,472.6982,385.1263,385.1263,385.1263,1,1,450.7721,-5.960464E-08,0
126,476.3076,385.1357,385.1357,385.1357,1,1,450.7768,0,0
127,480.0074,385.1438,385.1438,385.1438,1,1,450.7856,5.960464E-08,0
128,483.7087,385.1534,385.1534,385.1534,1,1,450.7897,0,0
129,487.1971,385.1629,385.1629,385.1629,1,1,450.7939,1.192093E-07,0
130,490.6553,385.172,385.172,385.172,1,1,450.7998,0,0
131,494.0611,385.1807,385.1807,385.1807,1,1,450.8066,2.980232E-08,0
132,497.5141,385.1898,385.1898,385.1898,1,1,450.8124,-5.960464E-08,0
133,500.8766,385.2002,385.2002,385.2002,1,1,450.814,-5.960464E-08,0
134,504.2379,385.2082,385.2082,385.2082,1,1,450.8232,-5.960464E-08,0
135,507.6217,385.2161,385.2161,385.2161,1,1,450.8327,0,0
136,510.9839,385.2243,385.2243,385.2243,1,1,450.8412,0,0
137,514.3597,385.2337,385.2337,385.2337,1,1,450.8458,1.192093E-07,0
138,517.7954,385.2439,385.2439,385.2439,1,1,450.8481,0,0
139,521.2361,385.2515,385.2515,385.2515,1,1,450.8585,2.980232E-08,0
140,524.6913,385.2607,385.2607,385.2607,1,1,450.8639,2.980232E-08,0
141,528.3227,385.2685,385.2685,385.2685,1,1,450.8739,2.980232E-08,0
142,532.0166,385.2773,385.2773,385.2773,1,1,450.8805,-5.960464E-08,0
143,535.4957,385.286,385.286,385.286,1,1,450.8872,0,0
144,538.9888,385.2944,385.2944,385.2944,1,1,450.8951,8.940697E-08,0
145,542.512,385.3054,385.3054,385.3054,1,1,450.8949,2.980232E-08,0
146,545.9894,385.3146,385.3146,385.3146,1,1,450.9,-5.960464E-08,0
147,549.5918,385.3237,385.3237,385.3237,1,1,450.9056,0,0
148,553.168,385.3333,385.3333,385.3333,1,1,450.9098,8.940697E-08,0
149,556.9321,385.3406,385.3406,385.3406,1,1,450.9213,5.960464E-08,0
150,560.7849,385.3477,385.3477,385.3477,1,1,450.9332,5.960464E-08,0
151,564.5959,385.3571,385.3571,385.3571,1,1,450.9377,0,0
152,568.3462,385.3651,385.3651,385.3651,1,1,450.9473,0,0
153,572.0645,385.3727,385.3727,385.3727,1,1,450.9575,-1.192093E-07,0
154,575.6895,385.3811,385.3811,385.3811,1,1,450.9655,5.960464E-08,0
155,579.14,385.3907,385.3907,385.3907,1,1,450.9696,0,0
156,582.9382,385.3995,385.3995,385.3995,1,1,450.9761,0,0
157,586.3855,385.4084,385.4084,385.4084,1,1,450.9822,2.980232E-08,0
158,589.84,385.419,385.419,385.419,1,1,450.983,2.384186E-07,0
159,593.4227,385.4289,385.4289,385.4289,1,1,450.9859,0,0
160,596.9734,385.4386,385.4386,385.4386,1,1,450.9897,-5.960464E-08,0
161,600.601,385.4479,385.4479,385.4479,1,1,450.9947,0,0
162,604.119,385.4587,385.4587,385.4587,1,1,450.9946,-5.960464E-08,0
163,607.7297,385.4677,385.4677,385.4677,1,1,451.0007,-1.192093E-07,0
164,611.3644,385.4764,385.4764,385.4764,1,1,451.0074,0,0
165,614.9568,385.4869,385.4869,385.4869,1,1,451.0085,-1.192093E-07,0
166,618.5344,385.4951,385.4951,385.4951,1,1,451.0171,0,0
167,622.0809,385.5046,385.5046,385.5046,1,1,451.0212,8.940697E-08,0
168,625.5712,385.5147,385.5147,385.5147,1,1,451.0235,0,0
169,629.0607,385.5252,385.5252,385.5252,1,1,451.0247,2.980232E-08,0
170,632.7244,385.5337,385.5337,385.5337,1,1,451.0323,0,0
171,636.2296,385.5406,385.5406,385.5406,1,1,451.045,-5.960464E-08,0
172,639.6614,385.5498,385.5498,385.5498,1,1,451.05,0,0
173,643.0883,385.5589,385.5589,385.5589,1,1,451.0557,2.980232E-08,0
174,646.5302,385.5689,385.5689,385.5689,1,1,451.0583,0,0
175,650.0594,385.5781,385.5781,385.5781,1,1,451.0635,8.940697E-08,0
176,653.5459,385.5865,385.5865,385.5865,1,1,451.0712,2.086163E-07,0
177,657.0742,385.5961,385.5961,385.5961,1,1,451.0754,2.980232E-08,0
178,660.6217,385.603,385.603,385.603,1,1,451.0879,-2.384186E-07,0
179,664.3696,385.6133,385.6133,385.6133,1,1,451.0894,0,0
180,667.9171,385.6226,385.6226,385.6226,1,1,451.0944,0,0
181,671.3967,385.6331,385.6331,385.6331,1,1,451.0953,-5.960464E-08,0
182,674.8576,385.6413,385.6413,385.6413,1,1,451.1038,0,0
183,678.2283,385.6512,385.6512,385.6512,1,1,451.1068,-5.960464E-08,0
184,681.6479,385.6602,385.6602,385.6602,1,1,451.1125,-1.788139E-07,0
185,685.1175,385.6679,385.6679,385.6679,1,1,451.1228,2.980232E-08,0
186,688.6191,385.6774,385.6774,385.6774,1,1,451.1269,0,0
187,692.1573,385.6857,385.6857,385.6857,1,1,451.1349,0,0
188,695.7356,385.6961,385.6961,385.6961,1,1,451.1364,5.960464E-08,0
189,699.3062,385.7063,385.7063,385.7063,1,1,451.1382,5.960464E-08,0
190,702.6833,385.7152,385.7152,385.7152,1,1,451.1444,-5.960464E-08,0
191,706.0673,385.7223,385.7223,385.7223,1,1,451.1565,5.960464E-08,0
192,709.5723,385.7321,385.7321,385.7321,1,1,451.1595,-5.960464E-08,0
193,713.0903,385.7417,385.7417,385.7417,1,1,451.1635,2.086163E-07,0
194,716.5792,385.7509,385.7509,385.7509,1,1,451.1687,-1.192093E-07,0
195,720.0757,385.7611,385.7611,385.7611,1,1,451.1706,0,0
196,723.4604,385.77,385.77,385.77,1,1,451.1767,-1.192093E-07,0
197,726.8395,385.7783,385.7783,385.7783,1,1,451.1849,0,0
198,730.2511,385.7864,385.7864,385.7864,1,1,451.1936,0,0
199,733.6454,385.7964,385.7964,385.7964,1,1,451.1961,0,0
200,737.0639,385.8062,385.8062,385.8062,1,1,451.1993,-5.960464E-08,0
201,740.4792,385.8162,385.8162,385.8162,1,1,451.202,-1.192093E-07,0
202,743.9295,385.8248,385.8248,385.8248,1,1,451.209,0,0
203,747.3373,385.8336,385.8336,385.8336,1,1,451.2155,0,0
