Step,TimeStamp,AvgEnergy,AverageEnergy_5th,AverageEnergy_95th,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
0,0.0009985,384,384,384,25,1,450,0.4927354,0.4853849
1,3.800001,384.0117,384.0117,384.0117,25,1,452.7257,0.4655118,0.6756354
2,7.519999,384.0234,384.0234,384.0234,25,1,455.4514,0.4321743,0.8931536
3,11.185,384.0351,384.0351,384.0351,25,1,458.1771,0.3522379,0.5258152
4,14.844,384.0468,384.0468,384.0468,25,1,460.9028,0.4650561,1.195257
5,18.505,384.0584,384.0584,384.0584,25,1,463.6285,0.4190744,1.145201
6,22.20551,384.0701,384.0701,384.0701,25,1,466.3542,0.4668702,0.6293905
7,25.89951,384.0818,384.0818,384.0818,25,1,469.0799,0.4059676,0.9155688
8,29.57602,384.0935,384.0935,384.0935,25,1,471.8055,0.3619634,0.9340075
9,33.25602,384.1052,384.1052,384.1052,25,1,474.5313,0.2550058,1.046808
10,36.93759,384.1169,384.1169,384.1169,25,1,477.257,0.3968632,1.046966
11,40.6489,384.1286,384.1286,384.1286,25,1,479.9826,0.4460717,0.9560743
12,44.33897,384.1402,384.1402,384.1402,25,1,482.7083,0.3929397,0.8489172
13,48.01497,384.1519,384.1519,384.1519,25,1,485.434,0.3826942,0.8164092
14,51.69497,384.1636,384.1636,384.1636,25,1,488.1597,0.431694,0.9326172
15,55.37299,384.1753,384.1753,384.1753,25,1,490.8854,0.3428267,1.034995
16,59.06599,384.187,384.187,384.187,25,1,493.6111,0.3702635,0.8172776
17,62.75,384.1986,384.1986,384.1986,25,1,496.3368,0.4755303,0.705537
18,66.44199,384.2103,384.2103,384.2103,25,1,499.0625,0.3527344,0.6859241
19,70.13704,384.222,384.222,384.222,25,1,501.7882,0.3919653,0.9842956
20,73.85307,384.2336,384.2336,384.2336,25,1,504.5139,0.3822188,0.9416311
21,77.55811,384.2453,384.2453,384.2453,25,1,507.2396,0.4085594,0.673457
22,81.26311,384.257,384.257,384.257,25,1,509.9653,0.4405907,1.02701
23,84.93015,384.2686,384.2686,384.2686,25,1,512.691,0.4202731,0.515827
24,88.61514,384.2803,384.2803,384.2803,25,1,515.4167,0.4269351,0.9408378
25,92.30719,384.292,384.292,384.292,25,1,518.1423,0.3779977,0.9115226
26,96.00321,384.3036,384.3036,384.3036,25,1,520.868,0.3990045,0.6037543
27,99.68724,384.3153,384.3153,384.3153,25,1,523.5938,0.471097,0.5658029
28,103.3692,384.327,384.327,384.327,25,1,526.3195,0.4472216,1.005747
29,107.0552,384.3386,384.3386,384.3386,25,1,529.0452,0.3171247,0.7532226
30,110.7392,384.3503,384.3503,384.3503,25,1,531.7708,0.3364451,1.029789
31,114.4062,384.3619,384.3619,384.3619,25,1,534.4965,0.3790414,1.05814
32,118.3382,384.3736,384.3736,384.3736,25,1,537.2222,0.4175124,0.4793856
33,122.0562,384.3853,384.3853,384.3853,25,1,539.9479,0.4126889,0.8403344
34,125.7372,384.3969,384.3969,384.3969,25,1,542.6736,0.359452,0.7511929
35,129.4232,384.4085,384.4085,384.4085,25,1,545.3993,0.4054405,1.162582
36,133.1072,384.4202,384.4202,384.4202,25,1,548.125,0.3909501,0.9239308
37,136.8022,384.4319,384.4319,384.4319,25,1,550.8507,0.4359029,0.9840854
38,140.5622,384.4435,384.4435,384.4435,25,1,553.5764,0.3211013,0.7068412
39,144.2342,384.4551,384.4551,384.4551,25,1,556.3021,0.4288287,0.9828534
40,147.8972,384.4668,384.4668,384.4668,25,1,559.0278,0.4111277,0.6742464
41,151.6352,384.4784,384.4784,384.4784,25,1,561.7535,0.4177898,0.4544966
42,155.3422,384.4901,384.4901,384.4901,25,1,564.4792,0.4263044,0.8944061
43,159.0083,384.5017,384.5017,384.5017,25,1,567.2048,0.4073707,1.093547
44,162.6573,384.5134,384.5134,384.5134,25,1,569.9305,0.4711719,0.9218778
45,166.3673,384.525,384.525,384.525,25,1,572.6563,0.3640745,0.9087778
46,170.0923,384.5367,384.5367,384.5367,25,1,575.382,0.416094,0.6516932
47,173.8053,384.5483,384.5483,384.5483,25,1,578.1077,0.3189723,0.9171271
48,177.5563,384.5599,384.5599,384.5599,25,1,580.8333,0.3569748,1.122022
49,181.7513,384.5715,384.5715,384.5715,25,1,583.559,0.3373795,0.7216733
50,185.6293,384.5832,384.5832,384.5832,25,1,586.2847,0.3982576,0.9407104
51,189.3463,384.5948,384.5948,384.5948,25,1,589.0104,0.3823437,0.9779988
52,193.0103,384.6064,384.6064,384.6064,25,1,591.7361,0.3470463,1.064544
53,196.9303,384.6181,384.6181,384.6181,25,1,594.4618,0.3785349,0.8561293
54,200.8783,384.6297,384.6297,384.6297,25,1,597.1875,0.3776337,0.5885822
55,204.7633,384.6413,384.6413,384.6413,25,1,599.9132,0.3692101,0.6282361
56,208.5613,384.653,384.653,384.653,25,1,602.6389,0.4510715,0.4178257
57,212.2573,384.6646,384.6646,384.6646,25,1,605.3646,0.3910577,0.6674737
58,215.9844,384.6762,384.6762,384.6762,25,1,608.0903,0.4558945,0.5093167
59,220.1114,384.6878,384.6878,384.6878,25,1,610.816,0.4702099,1.104356
