"","Day","Temperature.C","Weight.g"
"1",1,5,384.280658220313
"2",2,5,384.560612423196
"3",3,5,384.839864539235
"4",4,5,385.118416492947
"5",5,5,385.396270202803
"6",6,5,385.673427581248
"7",7,5,385.949890534727
"8",8,5,386.225660963704
"9",9,5,386.500740762687
"10",10,5,386.775131820246
"11",11,5,387.048836019038
"12",12,5,387.321855235828
"13",13,5,387.59419134151
"14",14,5,387.865846201129
"15",15,5,388.136821673902
"16",16,5,388.407119613239
"17",17,5,388.676741866768
"18",18,5,388.94569027635
"19",19,5,389.213966678105
"20",20,5,389.48157290243
"21",21,5,389.748510774025
"22",22,5,390.014782111905
"23",23,5,390.28038872943
"24",24,5,390.54533243432
"25",25,5,390.809615028677
"26",26,5,391.073238309006
"27",27,5,391.336204066237
"28",28,5,391.59851408574
"29",29,5,391.860170147353
"30",30,5,392.121174025394
"31",31,5,392.381527488689
